Field Id,Organization,City,State,Latitude,Longitude,Prod Year,Seed Class,Variety,Area,Area Unit,Location,Organization Modified,Variety Modified
Ben8703-2016,CRS,Makurdi,Benue,7.741641,8.72136,2016,Certified Seed,TMEB419,0.7635,Ha,"7.741641,8.72136",CRS,TMEB419
Ben2339-2016,CRS,Makurdi,Benue,7.709508,8.617141,2016,Certified Seed,TMS-IBA011368,0.8291,Ha,"7.709508,8.617141",CRS,Others
Ben2285-2016,CRS,Makurdi,Benue,7.531594,8.07455,2016,Certified Seed,Dixon,1.6729,Ha,"7.531594,8.07455",CRS,Dixon
Ben2702-2016,CRS,Makurdi,Benue,7.531594,8.07455,2016,Certified Seed,TMEB419,2.7628,Ha,"7.531594,8.07455",CRS,TMEB419
Ben1664-2016,CRS,Makurdi,Benue,7.436401,8.205154,2016,Certified Seed,TMEB419,1.0453,Ha,"7.436401,8.205154",CRS,TMEB419
Ben4984-2016,CRS,Makurdi,Benue,7.47762,8.606114,2016,Certified Seed,TMS-IBA011368,0.6342,Ha,"7.47762,8.606114",CRS,Others
Ben2367-2016,CRS,Makurdi,Benue,7.741641,8.72136,2016,Certified Seed,Dixon,0.5428,Ha,"7.741641,8.72136",CRS,Dixon
Ben2401-2016,CRS,Makurdi,Benue,7.559444,8.648333,2016,Certified Seed,TMS-IBA011368,0.9155,Ha,"7.559444,8.648333",CRS,Others
Ben1723-2016,CRS,Makurdi,Benue,7.245833,8.649722,2016,Certified Seed,TMEB419,0.7205,Ha,"7.245833,8.649722",CRS,TMEB419
Osu2372-2016,IITA,Ikoyi,Osun,7.243807,4.330602,2016,Breeder Seed,Fineface,0.364,Ha,"7.243807,4.330602",IITA,Fineface
Osu7602-2016,IITA,Ikoyi,Osun,7.241806,4.333006,2016,Breeder Seed,Farmers_Pride,0.49,Ha,"7.241806,4.333006",IITA,Farmer's Pride
Osu1028-2016,IITA,Ikoyi,Osun,7.241806,4.333006,2016,Breeder Seed,Dixon,0.52,Ha,"7.241806,4.333006",IITA,Dixon
Ogu4641-2016,IITA,Sagamu,Ogun,6.8717,3.7105,2016,Breeder Seed,TMS-IBA070539,0.89,Ha,"6.8717,3.7105",IITA,Others
